id,stock,industry,info
16,深康佳A,家用电器,MaCross60
26,飞亚达,其他商业,MaCross60
38,深大通,综合类,MaCross60
40,东旭蓝天,新型电力,MaCross60
559,万向钱潮,汽车配件,MaCross60
576,甘化科工,食品,MaCross60
606,ST顺利,互联网,MaCross60
802,ST北文,影视音像,MaCross60
893,亚钾国际,农药化肥,MaCross60
2048,宁波华翔,汽车配件,MaCross60
2049,紫光国微,元器件,MaCross60
2080,中材科技,化纤,MaCross60
2125,湘潭电化,化工原料,MaCross60
2207,准油股份,石油开采,MaCross60
2224,三力士,橡胶,MaCross60
2279,久其软件,软件服务,MaCross60
2313,日海智能,通信设备,MaCross60
2360,同德化工,化工原料,MaCross60
2361,神剑股份,化工原料,MaCross60
2380,科远智慧,电气设备,MaCross60
2421,达实智能,软件服务,MaCross60
2439,启明星辰,软件服务,MaCross60
2443,金洲管道,钢加工,MaCross60
2465,海格通信,通信设备,MaCross60
2547,春兴精工,通信设备,MaCross60
2598,山东章鼓,机械基件,MaCross60
2647,仁东控股,多元金融,MaCross60
2671,龙泉股份,其他建材,MaCross60
2750,龙津药业,中成药,MaCross60
2771,真视通,软件服务,MaCross60
2792,通宇通讯,通信设备,MaCross60
2830,名雕股份,装修装饰,MaCross60
2875,安奈儿,服饰,MaCross60
2970,锐明技术,通信设备,MaCross60
3009,中天火箭,航空,MaCross60
3029,吉大正元,软件服务,MaCross60
300013,新宁物流,仓储物流,MaCross60
300020,银江技术,软件服务,MaCross60
300049,福瑞股份,医疗保健,MaCross60
300062,中能电气,电气设备,MaCross60
300077,国民技术,半导体,MaCross60
300085,银之杰,软件服务,MaCross60
300229,拓尔思,软件服务,MaCross60
300231,银信科技,软件服务,MaCross60
300249,依米康,软件服务,MaCross60
300273,和佳医疗,医疗保健,MaCross60
300277,海联讯,软件服务,MaCross60
300282,三盛教育,文教休闲,MaCross60
300295,三六五网,互联网,MaCross60
300297,蓝盾股份,软件服务,MaCross60
300310,宜通世纪,通信设备,MaCross60
300311,任子行,软件服务,MaCross60
300334,津膜科技,水务,MaCross60
300339,润和软件,软件服务,MaCross60
300368,汇金股份,IT设备,MaCross60
300378,鼎捷软件,软件服务,MaCross60
300380,安硕信息,软件服务,MaCross60
300381,溢多利,生物制药,MaCross60
300448,浩云科技,软件服务,MaCross60
300455,康拓红外,运输设备,MaCross60
300462,华铭智能,专用机械,MaCross60
300523,辰安科技,软件服务,MaCross60
300545,联得装备,专用机械,MaCross60
300561,汇金科技,软件服务,MaCross60
300565,科信技术,通信设备,MaCross60
300732,设研院,建筑工程,MaCross60
300762,上海瀚讯,通信设备,MaCross60
300809,华辰装备,机床制造,MaCross60
300910,瑞丰新材,化工原料,MaCross60
300931,通用电梯,运输设备,MaCross60
301019,宁波色母,塑料,MaCross60
301169,零点有数,软件服务,MaCross60
600067,冠城大通,全国地产,MaCross60
600103,青山纸业,造纸,MaCross60
600130,波导股份,通信设备,MaCross60
600150,中国船舶,船舶,MaCross60
600169,太原重工,工程机械,MaCross60
600213,亚星客车,汽车整车,MaCross60
600271,航天信息,IT设备,MaCross60
600410,华胜天成,软件服务,MaCross60
600536,中国软件,软件服务,MaCross60
600588,用友网络,软件服务,MaCross60
600602,云赛智联,软件服务,MaCross60
600681,百川能源,供气供热,MaCross60
600696,岩石股份,白酒,MaCross60
600756,浪潮软件,软件服务,MaCross60
600797,浙大网新,软件服务,MaCross60
600830,香溢融通,多元金融,MaCross60
600839,四川长虹,家用电器,MaCross60
600874,创业环保,环境保护,MaCross60
600929,雪天盐业,食品,MaCross60
601127,小康股份,汽车整车,MaCross60
601778,晶科科技,新型电力,MaCross60
603025,大豪科技,纺织机械,MaCross60
603033,三维股份,橡胶,MaCross60
603171,税友股份,软件服务,MaCross60
603308,应流股份,专用机械,MaCross60
603516,淳中科技,通信设备,MaCross60
603517,绝味食品,食品,MaCross60
603536,惠发食品,食品,MaCross60
603598,引力传媒,影视音像,MaCross60
603721,中广天择,影视音像,MaCross60
603758,秦安股份,汽车配件,MaCross60
603773,沃格光电,元器件,MaCross60
603912,佳力图,专用机械,MaCross60
603933,睿能科技,商贸代理,MaCross60
603991,至正股份,塑料,MaCross60
605020,永和股份,化工原料,MaCross60
688002,睿创微纳,通信设备,MaCross60
688004,博汇科技,软件服务,MaCross60
688229,博睿数据,软件服务,MaCross60
688296,和达科技,软件服务,MaCross60
688365,光云科技,软件服务,MaCross60
688505,复旦张江,化学制药,MaCross60
688509,正元地信,软件服务,MaCross60
688579,山大地纬,软件服务,MaCross60
688588,凌志软件,软件服务,MaCross60
688768,容知日新,电器仪表,MaCross60
688798,艾为电子,半导体,MaCross60
quant_select_stock_MaCross60_2021-11-30.csv